Source	Citation
Richter et al. 1987	"Richter, M.R., Downing, H. & Richter, W. (1987). A Novel Social Wasp Behavior: Worker Mouthing and Rubbing of Teneral Polistes pacificus (Hymenoptera: Vespidae). J. Kans. Entomol. Soc., 347–349."
Rossi and Hunt 1988	"Rossi, A. M., & Hunt, J. H. (1988). Honey supplementation and its developmental consequences: evidence for food limitation in a paper wasp, Polistes metricus. Ecological Entomology, 13(4), 437-442."
Rusina 2006	"Rusina L.Yu. Polistes wasps in natural and antropogenic landscapes of Lowland Dnieper Area. Kherson, Kherson University, 2006. 200 p. (In Russian)"
Rusina et al. 2007	"Rusina, L. Y., Rusin, I. Y., Starr, C. K., Fateryga, A. B., & Firman, L. A. (2007). Modes of colony foundation by females of different morphotypes in the paper wasps (Hymenoptera, Vespidae, Polistes Latr.). Entomological Review, 87(9), 1155-1173."
Sayama 2006 	"Sayama, K. (2006). Foundress behaviors and interactions in polygynous colonies of the haplometrotic Japanese paper wasp Polistes snelleni (Hymenoptera: Vespidae). Entomological science, 9(4), 377-381."
Schulz 1905	"Schulz, W.A. (1905). Hymenopteren-studien. W. Engelmann."
Scobie and Starr 2016	"Scobie, A. A., & Starr, C. K. (2016). Notes on Colony Composition in the Social Wasp Mischocyttarus baconi (Hymenoptera: Vespidae). Living World, Journal of the Trinidad and Tobago Field Naturalists' Club."
Sekijima et al 1980	"Sekijima, M., Sugiura, M., & Matsuura, M. (1980). Nesting habits and brood development of Parapolybia indica Saussure (Hymenoptera: Vespidae). Mie Daigaku Nogaku-bu gakujutsu hokoku.= The Bulletin of the Faculty of Agriculture, Mie University."
Seppa et al 2002	"Seppä, P., Queller, D. C., & Strassmann, J. E. (2002). Reproduction in foundress associations of the social wasp, Polistes carolina: conventions, competition, and skew. Behavioral Ecology, 13(4), 531-542."
Seppä et al 2011	"Seppä P., Fogelqvist J., Gyllenstrand N., Lorenzi M.C. 2011. Colony kin structure and breeding patterns in the social wasp, Polistes biglumis. Insectes Sociaux, 58:345-355. "
Shakarad and Gadagkar 1995	"Shakarad, M., & Gadagkar, R. (1995). Colony founding in the primitively eusocial wasp, Ropalidia marginata (Hymenoptera: Vespidae). Ecological Entomology, 20(3), 273-282."
Singer and Espelie 1996 	"Singer, T.L. & Espelie, K.E. (1996). Nest surface hydrocarbons facilitate nestmate recognition for the social wasp, Polistes metricus Say (Hymenoptera: Vespidae). J. Insect Behav., 9, 857–870."
Sinzato et al 2011	"Sinzato, D.M., Andrade, F.R., De Souza, A.R., Del-Claro, K. & Prezoto, F. (2011). Colony cycle, foundation strategy and nesting biology of a Neotropical paper wasp. Rev. Chil. Hist. Nat., 84, 357–363."
Sledge et al 2001	"Sledge, M. F., Boscaro, F., & Turillazzi, S. (2001). Cuticular hydrocarbons and reproductive status in the social wasp Polistes dominulus. Behavioral Ecology and Sociobiology, 49(5), 401-409."
